sample_name,baseline_start,baseline_end,sample_start,sample_end
N2_1,11:35:05,11:35:57,11:36:00,11:36:50
N2_2,11:37:00,11:37:58,11:38:00,11:39:14
2821_a,11:39:44,11:40:37,11:40:42,11:43:00
2821_b,11:43:30,11:44:14,11:44:18,11:45:40
2821_c,11:48:00,11:48:31,11:48:35,11:50:00
2826_a,11:51:00,11:51:53,11:51:59,11:54:39
2826_b,11:56:05,11:56:36,11:56:39,11:59:44
2826_c,12:00:45,12:01:17,12:01:20,12:03:00
